,iata_code,name,coordinates,iso_region
26745,FCY,Forrest City Municipal Airport,"-90.7750015259, 34.942001342800005",US-AR
26746,FDK,Frederick Municipal Airport,"-77.3742980957, 39.417598724399994",US-MD
26747,FDR,Frederick Regional Airport,"-98.98390198, 34.35200119",US-OK
26749,FDY,Findlay Airport,"-83.66870117190001, 41.013500213600004",US-OH
26750,FEP,Albertus Airport,"-89.58200073239999, 42.2462005615",US-IL
26752,FET,Fremont Municipal Airport,"-96.52020264, 41.44910049",US-NE
26753,FFA,First Flight Airport,"-75.67130279540001, 36.0181999207",US-NC
26755,FFL,Fairfield Municipal Airport,"-91.9788970947, 41.0532989502",US-IA
26756,FFM,Fergus Falls Municipal Airport - Einar Mickelson Field,"-96.15670013, 46.28440094",US-MN
26757,FFO,Wright-Patterson Air Force Base,"-84.0483016968, 39.8260993958",US-OH
26758,FFT,Capital City Airport,"-84.90470123, 38.18249893",US-KY
26760,MSC,Falcon Field,"-111.727996826, 33.4608001709",US-AZ
26762,FRD,Friday Harbor Airport,"-123.024002075, 48.5219993591",US-WA
26763,FHU,Sierra Vista Municipal Libby Army Air Field,"-110.34400177001953, 31.588499069213867",US-AZ
26767,FKL,Venango Regional Airport,"-79.8603973389, 41.3778991699",US-PA
26768,FKN,Franklin Municipal-John Beverly Rose Airport,"-76.9038009644, 36.6981010437",US-VA
26771,FLD,Fond du Lac County Airport,"-88.48840332030001, 43.7711982727",US-WI
26772,FLG,Flagstaff Pulliam Airport,"-111.6709976, 35.13850021",US-AZ
26773,FLL,Fort Lauderdale Hollywood International Airport,"-80.15270233154297, 26.072599411010742",US-FL
26774,FLO,Florence Regional Airport,"-79.7238998413086, 34.18539810180664",US-SC
26775,FLP,Marion County Regional Airport,"-92.59030151, 36.29090118",US-AR
26777,FLU,Flushing Airport,"-73.83260345458984, 40.77870178222656",US-NY
26778,FLV,Sherman Army Air Field,"-94.9147033691, 39.3683013916",US-KS
26779,FLX,Fallon Municipal Airport,"-118.749000549, 39.4990997314",US-NV
26780,FME,Tipton Airport,"-76.7593994141, 39.08539962769999",US-MD
26781,FMH,Cape Cod Coast Guard Air Station,"-70.5214004517, 41.6584014893",US-MA
26783,FMN,Four Corners Regional Airport,"-108.230003357, 36.741199493399996",US-NM
26784,FMY,Page Field,"-81.86329650879999, 26.58659935",US-FL
26787,FNL,Fort Collins Loveland Municipal Airport,"-105.011001587, 40.4518013",US-CO
26788,FNT,Bishop International Airport,"-83.74359893798828, 42.96540069580078",US-MI
26790,FOD,Fort Dodge Regional Airport,"-94.19259644, 42.55149841",US-IA
26791,FOE,Topeka Regional Airport - Forbes Field,"-95.66359710690001, 38.950901031499995",US-KS
26792,FOK,Francis S Gabreski Airport,"-72.6317977905, 40.8437004089",US-NY
26793,FIL,Fillmore Municipal Airport,"-112.362999, 38.95830154",US-UT
26797,FPR,St Lucie County International Airport,"-80.36830139, 27.49510002",US-FL
26799,FRG,Republic Airport,"-73.4133987427, 40.7288017273",US-NY
26800,FRH,French Lick Municipal Airport,"-86.63690185550001, 38.5061988831",US-IN
26801,FRI,Marshall Army Air Field,"-96.76450348, 39.05530167",US-KS
26802,FRM,Fairmont Municipal Airport,"-94.4156036377, 43.643901825",US-MN
26803,FRR,Front Royal Warren County Airport,"-78.25350189210002, 38.9174995422",US-VA
26804,FSD,Joe Foss Field Airport,"-96.741897583, 43.582000732400004",US-SD
26806,FSI,Henry Post Army Air Field (Fort Sill),"-98.40219879, 34.64979935",US-OK
26807,FSK,Fort Scott Municipal Airport,"-94.7694015503, 37.7984008789",US-KS
26808,FSM,Fort Smith Regional Airport,"-94.36740112304688, 35.33660125732422",US-AR
26810,FST,Fort Stockton Pecos County Airport,"-102.916000366, 30.9157009125",US-TX
26811,FSU,Fort Sumner Municipal Airport,"-104.217002869, 34.4833984375",US-NM
26812,FMS,Fort Madison Municipal Airport,"-91.3267974854, 40.659301757799994",US-IA
26814,FTK,Godman Army Air Field,"-85.9720993042, 37.907100677500004",US-KY
26816,FTW,Fort Worth Meacham International Airport,"-97.362396, 32.819801",US-TX
26817,FTY,Fulton County Airport Brown Field,"-84.5214004517, 33.7790985107",US-GA
26818,FUL,Fullerton Municipal Airport,"-117.980003357, 33.8720016479",US-CA
26819,WFK,Northern Aroostook Regional Airport,"-68.31279754639999, 47.2854995728",US-ME
26821,FWA,Fort Wayne International Airport,"-85.19509888, 40.97850037",US-IN
26826,FXE,Fort Lauderdale Executive Airport,"-80.1707000732, 26.1972999573",US-FL
26827,FXY,Forest City Municipal Airport,"-93.62409973, 43.23469925",US-IA
26830,FYM,Fayetteville Municipal Airport,"-86.5640029907, 35.059700012200004",US-TN
26831,FYV,Drake Field,"-94.17009735107422, 36.00510025024414",US-AR
26878,GAD,Northeast Alabama Regional Airport,"-86.088996, 33.972599",US-AL
26880,GAG,Gage Airport,"-99.7763977051, 36.295501709",US-OK
26881,GAI,Montgomery County Airpark,"-77.1660003662, 39.168300628699996",US-MD
26884,GBD,Great Bend Municipal Airport,"-98.8591995239, 38.3442993164",US-KS
26885,GBG,Galesburg Municipal Airport,"-90.431098938, 40.937999725299996",US-IL
26887,GBR,Walter J. Koladza Airport,"-73.40319824, 42.18420029",US-MA
26888,GCC,Gillette Campbell County Airport,"-105.539001465, 44.348899841299996",US-WY
26889,JDA,Grant Co Regional/Ogilvie Field,"-118.9629974, 44.40420151",US-OR
26890,GCK,Garden City Regional Airport,"-100.723999023, 37.9275016785",US-KS
26892,GCN,Grand Canyon National Park Airport,"-112.14700317382812, 35.95240020751953",US-AZ
26894,GCY,Greeneville-Greene County Municipal Airport,"-82.81510162, 36.19300079",US-TN
26897,GDM,Gardner Municipal Airport,"-72.0160980225, 42.5499992371",US-MA
26898,GDV,Dawson Community Airport,"-104.8069992, 47.13869858",US-MT
26899,GDW,Gladwin Zettel Memorial Airport,"-84.47499847410002, 43.9706001282",US-MI
26900,GED,Sussex County Airport,"-75.35890198, 38.68920135",US-DE
26901,GEG,Spokane International Airport,"-117.53399658203125, 47.61989974975586",US-WA
26905,GEY,South Big Horn County Airport,"-108.0830002, 44.51679993",US-WY
26907,GFA,Malmstrom Air Force Base,"-111.18699646, 47.504699707",US-MT
26908,GFK,Grand Forks International Airport,"-97.176102, 47.949299",US-ND
26909,GFL,Floyd Bennett Memorial Airport,"-73.6102981567, 43.3412017822",US-NY
26911,GGE,Georgetown County Airport,"-79.3196029663, 33.3116989136",US-SC
26913,GGG,East Texas Regional Airport,"-94.71150207519531, 32.38399887084961",US-TX
26916,GGW,Wokal Field Glasgow International Airport,"-106.614998, 48.212502",US-MT
26918,GHM,Centerville Municipal Airport,"-87.44539642330001, 35.8373985291",US-TN
26920,GIF,Winter Haven Municipal Airport - Gilbert Field,"-81.75330353, 28.06290054",US-FL
26921,GJT,Grand Junction Regional Airport,"-108.527000427, 39.1223983765",US-CO
26922,MEJ,Port Meadville Airport,"-80.21469879, 41.62649918",US-PA
26923,GKT,Gatlinburg-Pigeon Forge Airport,"-83.52870178219999, 35.85779953",US-TN
26925,GLD,Renner Field-Goodland Municipal Airport,"-101.6989975, 39.37060165",US-KS
26926,GLE,Gainesville Municipal Airport,"-97.1969985962, 33.651401519800004",US-TX
26927,GLH,Mid Delta Regional Airport,"-90.98560333251953, 33.4828987121582",US-MS
26928,GLR,Gaylord Regional Airport,"-84.7035980225, 45.013500213600004",US-MI
26929,GLS,Scholes International At Galveston Airport,"-94.86039733886719, 29.265300750732422",US-TX
26930,GLW,Glasgow Municipal Airport,"-85.9536972, 37.03179932",US-KY
26933,GMU,Greenville Downtown Airport,"-82.34999847410002, 34.847900390599996",US-SC
26937,GNG,Gooding Municipal Airport,"-114.7649994, 42.91719818",US-ID
26938,GNT,Grants-Milan Municipal Airport,"-107.902000427, 35.167301178",US-NM
26939,GNV,Gainesville Regional Airport,"-82.2717971802, 29.6900997162",US-FL
26940,GOK,Guthrie-Edmond Regional Airport,"-97.41560364, 35.84980011",US-OK
26941,GON,Groton New London Airport,"-72.04509735107422, 41.330101013183594",US-CT
26946,FCA,Glacier Park International Airport,"-114.25599670410156, 48.31050109863281",US-MT
26948,GPT,Gulfport Biloxi International Airport,"-89.07009887695312, 30.40730094909668",US-MS
26949,GPZ,Grand Rapids Itasca Co-Gordon Newstrom field,"-93.50980377, 47.21110153",US-MN
26950,GQQ,Galion Municipal Airport,"-82.7238006592, 40.7533988953",US-OH
26951,GRB,Austin Straubel International Airport,"-88.12960052490234, 44.48509979248047",US-WI
26952,GRD,Greenwood County Airport,"-82.15910339359999, 34.2486991882",US-SC
26953,GRE,Greenville Airport,"-89.37840271, 38.8362007141",US-IL
26954,GRF,Gray Army Air Field,"-122.5810013, 47.07920074",US-WA
26955,GRI,Central Nebraska Regional Airport,"-98.30960083007812, 40.967498779296875",US-NE
26956,GRK,Robert Gray  Army Air Field Airport,"-97.82890319820001, 31.067199707",US-TX
26958,GRN,Gordon Municipal Airport,"-102.175003052, 42.8059997559",US-NE
26959,GRR,Gerald R. Ford International Airport,"-85.52279663, 42.88079834",US-MI
26960,GSB,Seymour Johnson Air Force Base,"-77.96060181, 35.33940125",US-NC
26961,GSH,Goshen Municipal Airport,"-85.79290008539999, 41.526401519800004",US-IN
26962,GSO,Piedmont Triad International Airport,"-79.93730163574219, 36.097801208496094",US-NC
26963,GSP,Greenville Spartanburg International Airport,"-82.2189025879, 34.8956985474",US-SC
26964,GSW,Greater Southwest International Airport-Amon Carter Field,"-97.04918861390001, 32.8308104547",US-TX
26967,GTF,Great Falls International Airport,"-111.3710022, 47.48199844",US-MT
26968,GTG,Grantsburg Municipal Airport,"-92.6643981934, 45.7980995178",US-WI
26969,GTR,Golden Triangle Regional Airport,"-88.5914001465, 33.450298309299995",US-MS
26971,GUC,Gunnison Crested Butte Regional Airport,"-106.9329987, 38.53390121",US-CO
26972,GUP,Gallup Municipal Airport,"-108.789001465, 35.511100769",US-NM
26973,GUS,Grissom Air Reserve Base,"-86.1520996094, 40.648101806599996",US-IN
26974,GUY,Guymon Municipal Airport,"-101.508003235, 36.6851005554",US-OK
26975,GVL,Lee Gilmer Memorial Airport,"-83.8302002, 34.27259827",US-GA
26977,GVT,Majors Airport,"-96.0652999878, 33.0677986145",US-TX
26978,GVW,Richards-Gebaur Air Force Base,"-94.55999755859375, 38.844200134277344",US-MO
26982,GWO,Greenwood–Leflore Airport,"-90.0847015381, 33.4943008423",US-MS
26984,GWS,Glenwood Springs Municipal Airport,"-107.310997009, 39.5083007812",US-CO
26986,KGX,Grayling Airport,"-160.066289, 62.895187",US-AK
26987,GXY,Greeley–Weld County Airport,"-104.633003235, 40.4374008179",US-CO
26989,GDC,Donaldson Center Airport,"-82.3764038086, 34.7583007812",US-SC
26990,PNX,North Texas Regional Airport/Perrin Field,"-96.6736984253, 33.714099884",US-TX
26992,GYR,Phoenix Goodyear Airport,"-112.375999451, 33.4225006104",US-AZ
26993,GYY,Gary Chicago International Airport,"-87.41280364990234, 41.61629867553711",US-IN
26994,KGZ,Glacier Creek Airport,"-142.380996704, 61.4551010132",US-AK
27015,HAB,Marion County Rankin Fite Airport,"-87.99819946, 34.11759949",US-AL
27017,HAF,Half Moon Bay Airport,"-122.500999451, 37.513401031499995",US-CA
27018,HAI,Three Rivers Municipal Dr Haines Airport,"-85.59339904790001, 41.9598007202",US-MI
27019,HAO,Butler Co Regional Airport - Hogan Field,"-84.5220031738, 39.363800048799995",US-OH
27020,HAX,Hatbox Field,"-95.4128036499, 35.7458992004",US-OK
27022,HBG,Hattiesburg Bobby L Chain Municipal Airport,"-89.25279999, 31.26479912",US-MS
27024,HBR,Hobart Regional Airport,"-99.051313, 34.991317",US-OK
27031,HDE,Brewster Field,"-99.336502, 40.452099",US-NE
27033,HDN,Yampa Valley Airport,"-107.2180023, 40.48120117",US-CO
27035,HEE,Thompson-Robbins Airport,"-90.67616, 34.576571",US-AR
27036,MNZ,Manassas Regional Airport/Harry P. Davis Field,"-77.51540375, 38.72140121",US-VA
27040,HEZ,Hardy-Anders Field / Natchez-Adams County Airport,"-91.297313, 31.613738",US-MS
27041,HFD,Hartford Brainard Airport,"-72.649398803711, 41.736698150635",US-CT
27042,HFF,Mackall Army Air Field,"-79.497755, 35.036288",US-NC
27045,HGR,Hagerstown Regional Richard A Henson Field,"-77.72949982, 39.707901",US-MD
27048,HHR,Jack Northrop Field Hawthorne Municipal Airport,"-118.334999, 33.922798",US-CA
27049,HUJ,Stan Stamper Municipal Airport,"-95.54190063, 34.03480148",US-OK
27050,HIB,Range Regional Airport,"-92.83899689, 47.38660049",US-MN
27051,HIE,Mount Washington Regional Airport,"-71.544502, 44.367637",US-NH
27052,HIF,Hill Air Force Base,"-111.973086, 41.12403",US-UT
27054,HII,Lake Havasu City Airport,"-114.358002, 34.571098",US-AZ
27055,HIO,Portland Hillsboro Airport,"-122.949997, 45.540401",US-OR
27058,HKA,Blytheville Municipal Airport,"-89.83080291750001, 35.940399169900004",US-AR
27059,HKS,Hawkins Field,"-90.22219849, 32.33449936",US-MS
27060,HKY,Hickory Regional Airport,"-81.38950348, 35.74110031",US-NC
27062,HLB,Hillenbrand Industries Airport,"-85.25830078119999, 39.344501495399996",US-IN
27063,HLC,Hill City Municipal Airport,"-99.83149719, 39.37879944",US-KS
27064,HLG,Wheeling Ohio County Airport,"-80.6463012695, 40.1749992371",US-WV
27065,HLM,Park Township Airport,"-86.1620025635, 42.7958984375",US-MI
27066,HLN,Helena Regional Airport,"-111.98300170898438, 46.6068000793457",US-MT
27067,HLR,Hood Army Air Field,"-97.71450042720001, 31.138700485199998",US-TX
27070,HMN,Holloman Air Force Base,"-106.107002258, 32.8525009155",US-NM
27071,HMT,Hemet Ryan Airport,"-117.023002625, 33.7340011597",US-CA
27074,HNB,Huntingburg Airport,"-86.95369720459999, 38.2490005493",US-IN
27075,HSH,Henderson Executive Airport,"-115.134002686, 35.9728012085",US-NV
27078,HOB,Lea County Regional Airport,"-103.2170029, 32.6875",US-NM
27081,HON,Huron Regional Airport,"-98.22850036621094, 44.38520050048828",US-SD
27082,HOP,Campbell AAF (Fort Campbell) Air Field,"-87.49620056150002, 36.668598175",US-KY
27083,HOT,Memorial Field,"-93.09619903564453, 34.47800064086914",US-AR
27084,HOU,William P Hobby Airport,"-95.27890015, 29.64539909",US-TX
27085,HPN,Westchester County Airport,"-73.70760345458984, 41.06700134277344",US-NY
27086,HPT,Hampton Municipal Airport,"-93.22630310059999, 42.7237014771",US-IA
27087,HPY,Baytown Airport,"-94.95269775390001, 29.786100387599998",US-TX
27089,HQM,Bowerman Airport,"-123.93699646, 46.971199035599994",US-WA
27092,HES,Hermiston Municipal Airport,"-119.259024, 45.828223",US-OR
27094,HRL,Valley International Airport,"-97.65440368652344, 26.228500366210938",US-TX
27095,HRO,Boone County Airport,"-93.15470123291016, 36.26150131225586",US-AR
27100,HSB,Harrisburg-Raleigh Airport,"-88.5503006, 37.81129837",US-IL
27102,HNC,Billy Mitchell Airport,"-75.617797851562, 35.232799530029",US-NC
27103,THP,Hot Springs County Airport,"-108.389687, 43.713602",US-WY
27104,HSI,Hastings Municipal Airport,"-98.42790222170001, 40.6053009033",US-NE
27105,HSP,Ingalls Field,"-79.83390045, 37.95140076",US-VA
27107,HST,Homestead ARB Airport,"-80.38359833, 25.48859978",US-FL
27108,HSV,Huntsville International Carl T Jones Field,"-86.775100708008, 34.637199401855",US-AL
27109,HTH,Hawthorne Industrial Airport,"-118.634002, 38.544399",US-NV
27110,HTL,Roscommon County - Blodgett Memorial Airport,"-84.671095, 44.359798",US-MI
27111,HTO,East Hampton Airport,"-72.25180054, 40.95959854",US-NY
27112,HTS,Tri-State/Milton J. Ferguson Field,"-82.55799866, 38.36669922",US-WV
27113,HTW,Lawrence County Airpark,"-82.494301, 38.4193",US-OH
27114,HUA,Redstone Army Air Field,"-86.68479919, 34.67869949",US-AL
27115,HUF,Terre Haute International Hulman Field,"-87.30760192871094, 39.451499938964844",US-IN
27116,HUL,Houlton International Airport,"-67.792098999, 46.1231002808",US-ME
27117,HUM,Houma Terrebonne Airport,"-90.6604003906, 29.5664997101",US-LA
27118,HUT,Hutchinson Municipal Airport,"-97.86060333250002, 38.0654983521",US-KS
27120,HVE,Hanksville Airport,"-110.70400238, 38.417999267599996",US-UT
27121,HVN,Tweed New Haven Airport,"-72.88680267, 41.26369858",US-CT
27122,HVR,Havre City County Airport,"-109.762001, 48.54299927",US-MT
27123,HVS,Hartsville Regional Airport,"-80.11920166019999, 34.4030990601",US-SC
27125,HWD,Hayward Executive Airport,"-122.122001648, 37.659198761",US-CA
27126,HWO,North Perry Airport,"-80.2407, 26.0012",US-FL
27128,WSH,Brookhaven Airport,"-72.86940002440001, 40.8218994141",US-NY
27130,HHH,Hilton Head Airport,"-80.6975021362, 32.2243995667",US-SC
27132,HYA,Barnstable Municipal Boardman Polando Field,"-70.28040314, 41.66930008",US-MA
27134,HYR,Sawyer County Airport,"-91.44429779050002, 46.025199890100005",US-WI
27135,HYS,Hays Regional Airport,"-99.27320099, 38.84220123",US-KS
27140,HZL,Hazleton Municipal Airport,"-75.9949035645, 40.986801147499996",US-PA
27143,JFN,Northeast Ohio Regional Airport,"-80.6955032349, 41.7779998779",US-OH
27177,IAB,Mc Connell Air Force Base,"-97.26820374, 37.62189865",US-KS
27178,IAD,Washington Dulles International Airport,"-77.45580292, 38.94449997",US-DC
27179,IAG,Niagara Falls International Airport,"-78.94619750976562, 43.1072998046875",US-NY
27180,IAH,George Bush Intercontinental Houston Airport,"-95.34140014648438, 29.984399795532227",US-TX
27181,KIB,Ivanof Bay Seaplane Base,"-159.488998413, 55.8974990845",US-AK
27183,ICL,Schenck Field,"-95.02639771, 40.72180176",US-IA
27185,ICT,Wichita Mid Continent Airport,"-97.43309783935547, 37.649898529052734",US-KS
27186,IDA,Idaho Falls Regional Airport,"-112.070999, 43.514599",US-ID
27188,IDI,Indiana County/Jimmy Stewart Fld/ Airport,"-79.10549927, 40.63219833",US-PA
27190,IDP,Independence Municipal Airport,"-95.77839660640001, 37.1584014893",US-KS
27191,XPR,Pine Ridge Airport,"-102.511001587, 43.0224990845",US-SD
27193,IFA,Iowa Falls Municipal Airport,"-93.2699966431, 42.4707984924",US-IA
27194,IFP,Laughlin Bullhead International Airport,"-114.5599976, 35.15739822",US-AZ
27195,IGM,Kingman Airport,"-113.93800354003906, 35.259498596191406",US-AZ
27203,IKK,Greater Kankakee Airport,"-87.8462982178, 41.07139968869999",US-IL
27206,ILE,Skylark Field,"-97.6865005493, 31.0858001709",US-TX
27207,ILG,New Castle Airport,"-75.60649872, 39.67869949",US-DE
27209,ILM,Wilmington International Airport,"-77.90260314941406, 34.270599365234375",US-NC
27210,ILN,Wilmington Airpark,"-83.792098999, 39.427898407",US-OH
27211,IML,Imperial Municipal Airport,"-101.6210022, 40.50930023",US-NE
27212,IMM,Immokalee Regional Airport,"-81.40100098, 26.43320084",US-FL
27213,MDN,Madison Municipal Airport,"-85.46549988, 38.75889969",US-IN
27214,IMT,Ford Airport,"-88.1145019531, 45.8184013367",US-MI
27215,IND,Indianapolis International Airport,"-86.294403, 39.7173",US-IN
27217,INK,Winkler County Airport,"-103.200996399, 31.779600143399996",US-TX
27218,INL,Falls International Airport,"-93.4030990600586, 48.566200256347656",US-MN
27219,INS,Creech Air Force Base,"-115.672996521, 36.587200164799995",US-NV
27220,INT,Smith Reynolds Airport,"-80.22200012207031, 36.13370132446289",US-NC
27221,INW,Winslow Lindbergh Regional Airport,"-110.722999573, 35.021900177",US-AZ
27223,IOW,Iowa City Municipal Airport,"-91.5465011597, 41.639198303200004",US-IA
27225,IPL,Imperial County Airport,"-115.57900238, 32.834201812699995",US-CA
27226,IPT,Williamsport Regional Airport,"-76.92109680175781, 41.241798400878906",US-PA
27228,IRK,Kirksville Regional Airport,"-92.5448989868164, 40.09349822998047",US-MO
27229,IRS,Kirsch Municipal Airport,"-85.43900299, 41.81330109",US-MI
27231,ISM,Kissimmee Gateway Airport,"-81.4371032715, 28.2898006439",US-FL
27232,ISN,Sloulin Field International Airport,"-103.641998291, 48.177898407",US-ND
27233,ISO,Kinston Regional Jetport At Stallings Field,"-77.60880279540001, 35.331401825",US-NC
27234,ISP,Long Island Mac Arthur Airport,"-73.10019684, 40.79520035",US-NY
27235,ISQ,Schoolcraft County Airport,"-86.17179871, 45.97460175",US-MI
27236,ISW,Alexander Field South Wood County Airport,"-89.83899688720001, 44.3602981567",US-WI
27238,ITH,Ithaca Tompkins Regional Airport,"-76.4583969116211, 42.49100112915039",US-NY
27240,AZA,Phoenix-Mesa-Gateway Airport,"-111.6549988, 33.30780029",US-AZ
27241,IWD,Gogebic Iron County Airport,"-90.131401062, 46.527500152600005",US-MI
27243,ISS,Wiscasset Airport,"-69.712600708, 43.9613990784",US-ME
27244,IWS,West Houston Airport,"-95.67259979250001, 29.818199157699997",US-TX
27246,JCI,New Century Aircenter Airport,"-94.890296936, 38.8308982849",US-KS
27247,IYK,Inyokern Airport,"-117.8300018, 35.65879822",US-CA
27249,SQA,Santa Ynez Airport,"-120.0759964, 34.60680008",US-CA
27250,FRY,Eastern Slopes Regional Airport,"-70.9478988647, 43.991100311299995",US-ME
27251,JAC,Jackson Hole Airport,"-110.73799896240234, 43.6072998046875",US-WY
27252,JAN,Jackson-Medgar Wiley Evers International Airport,"-90.0758972168, 32.3111991882",US-MS
27253,JAS,Jasper County Airport-Bell Field,"-94.03489685, 30.88570023",US-TX
27255,JAX,Jacksonville International Airport,"-81.68789672851562, 30.49410057067871",US-FL
27256,JBR,Jonesboro Municipal Airport,"-90.64640045166016, 35.83169937133789",US-AR
27257,JCT,Kimble County Airport,"-99.7634963989, 30.5112991333",US-TX
27259,JDN,Jordan Airport,"-106.95300293, 47.3288002014",US-MT
27260,JEF,Jefferson City Memorial Airport,"-92.15609741210001, 38.5912017822",US-MO
27263,JFK,John F Kennedy International Airport,"-73.77890015, 40.63980103",US-NY
27267,JHW,Chautauqua County-Jamestown Airport,"-79.25800323, 42.15340042",US-NY
27268,GUF,Jack Edwards Airport,"-87.67179871, 30.29050064",US-AL
27271,JLN,Joplin Regional Airport,"-94.49829864501953, 37.151798248291016",US-MO
27273,JMS,Jamestown Regional Airport,"-98.67819977, 46.92969894",US-ND
27275,JOT,Joliet Regional Airport,"-88.17549896, 41.51779938",US-IL
27276,USA,Concord Regional Airport,"-80.709099, 35.387798",US-NC
27278,JKV,Cherokee County Airport,"-95.2173995972, 31.8693008423",US-TX
27279,JST,John Murtha Johnstown Cambria County Airport,"-78.83390045166016, 40.31610107421875",US-PA
27282,JVL,Southern Wisconsin Regional Airport,"-89.0416030884, 42.620300293",US-WI
27288,JXN,Jackson County Reynolds Field,"-84.45939636230001, 42.259799957300004",US-MI
27330,KKB,Kitoi Bay Seaplane Base,"-152.369995117, 58.1908988953",US-AK
27332,KIC,Mesa Del Rey Airport,"-121.122001648, 36.2280006409",US-CA
27333,KKL,Karluk Lake Seaplane Base,"-154.027999878, 57.3670005798",US-AK
27334,KLS,Southwest Washington Regional Airport,"-122.898002625, 46.11800003049999",US-WA
27336,KKU,Ekuk Airport,"-158.559005737, 58.8111991882",US-AK
27340,DTH,Furnace Creek Airport,"-116.880997, 36.463799",US-CA
27341,BXS,Borrego Valley Airport,"-116.320999146, 33.2589988708",US-CA
27351,RBF,Big Bear City Airport,"-116.856002808, 34.2638015747",US-CA
27364,TRH,Trona Airport,"-117.327003479, 35.8125",US-CA
27371,LAA,Lamar Municipal Airport,"-102.68800354, 38.069698333699996",US-CO
27372,LAF,Purdue University Airport,"-86.93689727783203, 40.41230010986328",US-IN
27373,LAL,Lakeland Linder Regional Airport,"-82.0186004639, 27.988899231",US-FL
27374,LAM,Los Alamos Airport,"-106.268997192, 35.8797988892",US-NM
27375,LAN,Capital City Airport,"-84.58740234375, 42.77870178222656",US-MI
27376,LAR,Laramie Regional Airport,"-105.67500305175781, 41.31209945678711",US-WY
27377,LAS,McCarran International Airport,"-115.1520004, 36.08010101",US-NV
27378,LAW,Lawton Fort Sill Regional Airport,"-98.4166030884, 34.5676994324",US-OK
27379,LAX,Los Angeles International Airport,"-118.4079971, 33.94250107",US-CA
27380,LBB,Lubbock Preston Smith International Airport,"-101.822998, 33.663601",US-TX
27381,LBE,Arnold Palmer Regional Airport,"-79.40480042, 40.27590179",US-PA
27382,LBF,North Platte Regional Airport Lee Bird Field,"-100.6839981, 41.12620163",US-NE
27383,LBL,Liberal Mid-America Regional Airport,"-100.9599991, 37.0442009",US-KS
27386,LBT,Lumberton Regional Airport,"-79.05940246579999, 34.6099014282",US-NC
27387,LJN,Texas Gulf Coast Regional Airport,"-95.462097168, 29.1086006165",US-TX
27389,LCH,Lake Charles Regional Airport,"-93.22329711914062, 30.126100540161133",US-LA
27390,LCI,Laconia Municipal Airport,"-71.4188995361, 43.5727005005",US-NH
27391,LCK,Rickenbacker International Airport,"-82.927803, 39.813801",US-OH
27392,LCQ,Lake City Gateway Airport,"-82.57689666750001, 30.1819992065",US-FL
27393,LDJ,Linden Airport,"-74.2445983887, 40.617401123",US-NJ
27394,LDM,Mason County Airport,"-86.40789795, 43.96250153",US-MI
27395,LEB,Lebanon Municipal Airport,"-72.30419921880001, 43.626098632799994",US-NH
27396,LEE,Leesburg International Airport,"-81.80870056, 28.82309914",US-FL
27397,LEM,Lemmon Municipal Airport,"-102.106002808, 45.9187011719",US-SD
27398,LEW,Auburn Lewiston Municipal Airport,"-70.2835006714, 44.048500061",US-ME
27399,LEX,Blue Grass Airport,"-84.60590362548828, 38.0364990234375",US-KY
27400,LFI,Langley Air Force Base,"-76.360496521, 37.082901001",US-VA
27401,LFK,Angelina County Airport,"-94.75, 31.2339992523",US-TX
27402,LFT,Lafayette Regional Airport,"-91.98760223, 30.20529938",US-LA
27403,LGA,La Guardia Airport,"-73.87259674, 40.77719879",US-NY
27404,LGB,Long Beach /Daugherty Field/ Airport,"-118.1520004, 33.81769943",US-CA
27405,LGC,Lagrange Callaway Airport,"-85.0726013184, 33.0088996887",US-GA
27406,LGD,La Grande/Union County Airport,"-118.007003784, 45.2901992798",US-OR
27407,LGF,Laguna Army Airfield,"-114.3970032, 32.86000061",US-AZ
27408,LGU,Logan-Cache Airport,"-111.851997375, 41.7911987305",US-UT
27410,LHC,Arlington Municipal Airport,"-89.67250061035156, 35.28310012817383",US-TN
27413,LHV,William T. Piper Memorial Airport,"-77.42230225, 41.13560104",US-PA
27414,LIY,Wright AAF (Fort Stewart)/Midcoast Regional Airport,"-81.562303, 31.889099",US-GA
27416,LFN,Triangle North Executive Airport,"-78.330299, 36.0233",US-NC
27417,LIC,Limon Municipal Airport,"-103.666000366, 39.274799346900004",US-CO
27418,LIT,Bill & Hillary Clinton National Airport/Adams Field,"-92.2242965698, 34.729400634799994",US-AR
27421,LKP,Lake Placid Airport,"-73.96189880370001, 44.2644996643",US-NY
27423,LOW,Louisa County Airport/Freeman Field,"-77.9701004, 38.00979996",US-VA
27424,LKV,Lake County Airport,"-120.399002075, 42.161098480199996",US-OR
27425,CHL,Challis Airport,"-114.218002, 44.522999",US-ID
27431,LMS,Louisville Winston County Airport,"-89.0625, 33.1461982727",US-MS
27432,LMT,Crater Lake-Klamath Regional Airport,"-121.733002, 42.156101",US-OR
27433,LNA,Palm Beach County Park Airport,"-80.08509827, 26.59300041",US-FL
27435,LND,Hunt Field,"-108.730003357, 42.8152008057",US-WY
27436,LNK,Lincoln Airport,"-96.75920104980469, 40.85100173950195",US-NE
27438,LNN,Willoughby Lost Nation Municipal Airport,"-81.3897018433, 41.683998107899995",US-OH
27439,LNP,Lonesome Pine Airport,"-82.5299987793, 36.9874992371",US-VA
27440,LNR,Tri-County Regional Airport,"-90.181602478, 43.2117004395",US-WI
